"number","frn","business_name","business_address","foreign_voice_provider","country","other_frns","other_dba_names","previous_dba_names","robocall_mitigation_contact_name","contact_title","contact_department","contact_business_address","contact_country","contact_telephone_number","contact_phone_extension","implementation","voice_service_provider_choice","gateway_provider_choice","intermediate_provider_choice","last_updated","filing_url"
"RMD0019130","0034978619","Lorain County Data LLC","8465 Oberlin Road
Elyria OH 44035","No","United States of America","none","LORCO Data","none","Richard S Pozywak","CEO","Management","8465 Oberlin Road
Elyria OH 44035","United States of America","4405964482","","Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=559cadaa87688a104d94a75e3fbb35dc&view=sp"
"RMD0019134","0028528867","Thrive Broadband, LLC","2761 Paw Print Way
Castle Rock CO 80109","No","United States of America","None","None","None","Zachary Schmidt","CEO","Executive","8440 Spruce Mountain Rd
Larkspur CO 80118","United States of America","7209071642","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=5aa6b5621b208a1079d752c6624bcb69&view=sp"
"RMD0019135","0025788076","ULTATEL, LLC","13873 Park Center Rd Suite 450
Herndon VA 20171","No","United States of America","None","None","None","Leonard Horowitz","Director of Support","Regulatory","13873 Park Center Rd Suite 450
Herndon VA 20171","United States of America","703-214-2323","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=78883d6e1b608a10d9b4caa8624bcb10&view=sp"
"RMD0019136","0027630540","Advantage IT Management, Inc.","504 Boulevard Park E
Mobile AL 36609","No","United States of America","None","None","None","Matt Wilson","owner","Administration","504 Boulevard Park E
Mobile AL 36609","United States of America","2516629770","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=33c831621bec4a10ab016206624bcb9e&view=sp"
"RMD0019139","0011227055","Northwest Open Access Network","11707 E Sprague Ave.
Suite 201
Spokane Valley WA 99206","No","United States of America","None","NoaNet","None","Michael Henson","Chief Operating Officer","Executive","3671 Crossett Way
Hansville WA 98340","United States of America","360-815-4630","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","No","No","Yes","2024-10-30","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=043cbdaa1ba88a10ce3364a8624bcbef&view=sp"
"RMD0019140","0034996207","Juazz Technologies","14, Nagaramalai Road
Tamil Nadu 636004 Salem, India","Yes","India","None","None","None","Chavan Prasanth","Head of Operations","Operations","14, Nagaramalai Road
Tamil Nadu 636004 Salem, India","India","'+15109997435","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=f90eb9261bec4a10ab016206624bcbba&view=sp"
"RMD0019141","0032952319","The VoIP Talk, LLC","418 Broadway STE 5462
New York 12207 Albany, United States","No","United States of America","None","None","None","Ankit Sinha","Director","Compliance","418 Broadway STE 5462
Albany NY 12207","United States of America","'+1 315 633 3636","","Complete STIR/SHAKEN Implementation","Yes","Yes","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=9152862a1b68ca10d44642e2b24bcb5a&view=sp"
"RMD0019146","0034996934","ECOM TECHNOLOGIES","Phonsinouan, Sisattanak
Vientiane  Sisattanak, Laos","Yes","Lao People's Democratic Republic","None","None","None","Tony King Sayavong","VP","Operations","Phonsinouan, Sisattanak
Vientiane  Sisattanak, Laos","Lao People's Democratic Republic","'+85621450424","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-07-08","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=b0d5b6661b6c425048ce5395624bcb1b&view=sp"
"RMD0019148","0032041949","ATAX VOICE","1281 Caroline St NE,
Atlanta GA 30307","Yes","Turkey","None","None","None","Jason Carlisle","Legal Advisor","Legal and Compliance","1281 Caroline St NE,
Atlanta GA 30307","Turkey","'+905359942310","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=874107e21bac425048ce5395624bcb64&view=sp"
"RMD0019158","0022398622","Olafe, LLC","61 Sandy Hill Rd.
Westfield NJ 07090","No","United States of America","None","Olafe","None","Alexander Vergilis","CIO","Executive","61 Sandy Hill Rd.
Westfield NJ 07090","United States of America","9142319088","1201","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=6a56f76687ec8a104d94a75e3fbb35dd&view=sp"
"RMD0019160","0022957633","IT Management Solutions","90 Stiles Road
Suite 202
Salem NH 03079","No","United States of America","None","IT Management Solutions, LLC","None","Pedro Nunez","CEO","Management","90 Stiles Road
Suite 202
Salem NH 03079","United States of America","978-291-8125","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=5877f32e1b20ca10ce3364a8624bcb5c&view=sp"
"RMD0019161","0034997411","NC Automation LLC","746 US 250 N
Ashland OH 44805","No","United States of America","none","none","none","Neil Burkholder","owner","Administration","746 US 250 N
Ashland OH 44805","United States of America","'+18886881041","4","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=32b77f6687ec8a104d94a75e3fbb356d&view=sp"
"RMD0019171","0024212870","Responsive Technology Partners Inc","6711 Peters Creek Road
Suite 204
Roanoke VA 24019","No","United States of America","None","None","Professional Network Services Inc.","Bryan Gibson","Cable and Telecommunications Manager","Infrastructure","6711 Peters Creek Road
Suite 204
Roanoke VA 24019","United States of America","5403140008","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=cb9044bedba88a10759ca25813961999&view=sp"
"RMD0019175","0025416744","Dillon Systems, Inc.","84 Oakmoor Lane
Willow Spring NC 27592","No","United States of America","NONE","NONE","NONE","Jeff Dillon","President","Engineering","84 Oakmoor Lane
Willow Spring NC 27592","United States of America","9197710000","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=f03488b61be48a10d9b4caa8624bcb5c&view=sp"
"RMD0019178","0033889254","Lumos Fiber of South Carolina, LLC","4100 Mendenhall Oaks Pkwy
Suite 300
High Point NC 27265","No","United States of America","None","Lumos","None","Tim Pressley","Manager, External Affairs","Legal Affairs","4100 Mendenhall Oaks Pkwy
Suite 300
High Point NC 27265","United States of America","336-821-8650","","Complete STIR/SHAKEN Implementation","Yes","No","No","2025-01-09","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=42c5c0721b688a10f9232f84604bcbce&view=sp"
"RMD0019180","0019598200","Communications Technologies, Inc","18110E Chesterfield Airport Road
Chesterfield MO 63005","No","United States of America","None","None","None","Robert Hymes","President","Sales","18110 Chesterfield Airport Road
Suite E
Chesterfield MO 63005","United States of America","'+1-636-537-7200","202","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=719bc87a87e0ca10ab3765b70cbb3519&view=sp"
"RMD0019190","0034998484","Voxclear LLC","30 South 15th Street, Suite 1500
Philadelphia PA 19102","No","United States of America","NONE","Voxclear","NONE","Jim Greenfield","Manager","NA","30 South 15th Street, Suite 1500
Philadelphia PA 19102","United States of America","445-277-9400","101","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=ebed9cbe1ba48a10ab016206624bcb43&view=sp"
"RMD0019191","0034283408","Atomical Softwares LLC","2349 Litchfield Loop
Deland FL 32720","No","United States of America","NOne","None","None","Bryanne Vega","CEO","CEO","2349 Litchfield Loop
Deland FL 32720","United States of America","4433668702","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=2123ec3a1ba08a10b861c844604bcb93&view=sp"
"RMD0019192","0034999235","Watwood Enterprises LLC","1414 County Road 706
Cullman AL 35055","No","United States of America","None","Wat the Tech","None","Ty Watwood","Owner","Main","1414 County Road 706
Cullman AL 35055","United States of America","2562971201","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=feba64fe1be88a10f9232f84604bcb05&view=sp"
"RMD0019193","0033950213","ICE Mortgage Technology, Inc.","4420 Rosewood Drive
Suite 500
Pleasanton CA 94526","No","United States of America","None","None","None","Lolita Forbes","Sr. Corporate Counsel","Legal","4420 Rosewood Drive
Suite 500
Pleasanton CA 94526","United States of America","9252277200","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=48ace87a876c4a100c54a9b60cbb35ca&view=sp"
"RMD0019194","0034958918","Black Knight, LLC","601 Riverside Avenue
Jacksonville FL 32204","No","United States of America","None","None","None","Lolita Forbes","Sr. Corporate Counsel","Legal","601 Riverside Avenue
Jacksonville FL 32204","United States of America","9252277200","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=07807cfa876c4a100c54a9b60cbb3528&view=sp"
"RMD0019196","0024987075","24x7 Protect IT, Inc.","457 Nathan Dean Blvd.
Ste. 105-153
Dallas GA 30132","No","United States of America","None","None","None","Paul J. Chrisco","CEO","Support","457 Nathan Dean Blvd.
Ste. 105-153
Dallas GA 30132","United States of America","678-3102002","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=7558f03e1be08a10b861c844604bcb49&view=sp"
"RMD0019200","0034999177","Clicrite LLC","78 Wadsworth Avenue
Lakewood NJ 08701","No","United States of America","None","CLICKRITE LLC","None","Shaya Weinfeld","COO","Head of Operations","78 Wadsworth Avenue
Lakewood NJ 08701","United States of America","732 231 5555","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=5fdfb0be87248a10467d0ed8cebb3542&view=sp"
"RMD0019204","0026668939","Nextcom Corporation","5757 W. Century Blvd
Suite 675
Los Angeles CA 90045","No","United States of America","none","Nextcom","nonr","David Hajian","CEO","Operations","5757 W. Century Blvd
Suite 675
Los Angeles CA 90045","United States of America","3103601000","201","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=ed7cb8b6dbac8a10759ca2581396192a&view=sp"
"RMD0019205","0025505900","Granite Communications, Inc","55 Middletown Ave, Suite 1
North Haven CT 06473","No","United States of America","None","None","None","Gregg Haughton","President","Operations","55 Middletown Ave, Suite 1
North Haven CT 06473","United States of America","'+2032344900","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=25feb8ba1b288a1028c8c958624bcbc8&view=sp"
"RMD0019207","0031811326","ACP CreativIT LLC","851 Commerce Court
Buffalo Grove IL 60089","No","United States of America","None","None","None","Linda Dobinson","Director of Operations","Executive Offices","851 Commerce Court
Buffalo Grove IL 60089","United States of America","218.740.2815","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=aa5c0dfe87608a101dda87f9cebb359e&view=sp"
"RMD0019208","0033972415","Red Cloud LLC","100 N. Dixieland Road
Suite D-2
Rogers AR 72756","No","United States of America","None","None","None","Bo Summers","Operations","Operations","100 N. Dixieland Road
Suite D-2
Rogers AR 72756","United States of America","4796337035","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=705649761bac8a10f9232f84604bcb48&view=sp"
"RMD0019209","0022813588","ZETTALYNC LLC","P.O. Box 658
Frisco TX 75034","No","United States of America","None","None","None","Eva Wattenburger","Account Manager","Management","P.O. Box 658
Frisco TX 75034","United States of America","4699041800","1807","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=af6d4d7a1b6c8a1079d752c6624bcb69&view=sp"
"RMD0019210","0026282459","Grase Communications LLC dba MiWave","1804 W. Monroe St.
Burns OR 97720","No","United States of America","None","None","None","Justin Chase","Manager","Operations","1804 W. Monroe St.
Burns OR 97720","United States of America","5034810012","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=fd21ddbedbe88a10d2dfa368139619a4&view=sp"
"RMD0019217","0025906165","Edge Solutions LLC","13251 Rinella St.
Venice FL 34293","No","United States of America","None","None","None","Walt Rush","V.P. Sales","Operations","13251 Rinella St.
Venice FL 34293","United States of America","5868540440","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=ed2ad1761b28ca100073edf7624bcb44&view=sp"
"RMD0019220","0018080523","True Wireless, Inc.","312 NW 13th St
Oklahoma City OK 73103","No","United States of America","None","None","None","Lindsey Pever","General Counsel/Corporate Secretary","Regulatory","312 NW 13th St
Oklahoma City OK 73103","United States of America","(405) 206-9575","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=726bdd361b280e10d44642e2b24bcba2&view=sp"
"RMD0019222","0026533935","BW Communications, Inc.","1400 Mercantile Lane
Suite 254
Largo MD 20774","No","United States of America","None","None","None","Harry E White Jr","President","Executive","1400 Mercantile Lane
Suite 254
Largo MD 20774","United States of America","3017785700","2005","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=7cae5d7adb24ca10bf8e1b58139619c2&view=sp"
"RMD0019223","0023401425","The Junction Internet LLC","120 S Wilson St
Suite C
Vinita OK 74301","No","United States of America","None","None","None","Josie Lane","Voip Manager","Accounting","120 S Wilson St
Suite C
Vinita OK 74301","United States of America","9182563186","119","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=f916a5ba87e4ca104d94a75e3fbb3574&view=sp"
"RMD0019228","0033105487","FiberFirst, LLC","550 Reserve Street
Suite 600
Southlake Texas 76092","No","United States of America","None","None","None","Bryan Davis","Sales, Marketing & Service Leader","Operations","550 Reserve Street
Suite 600
Southlake Texas 76092","United States of America","833-342-7444","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=56951df68728ca10ab3765b70cbb35c1&view=sp"
"RMD0019229","0035002393","NETSENSE SOLUTIONS LLC","1900 Glades Rd
STE 280
Boca Raton FL 33431","No","United States of America","none","Tech1 Solutions LLC","none","Joe Signore","CEO","Admin","1900 Glades Rd
STE 280
Boca Raton FL 33431","United States of America","5612322060","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=1c2075b61b68ca100073edf7624bcba1&view=sp"
"RMD0019230","0003782844","KDDI America, Inc.","7 Teleport Drive
Staten Island NY 10311","No","United States of America","None","None","None","Peter C. Kuan","Senior Tax Manager","Executive Offices","7 Teleport Drive
Staten Island NY 10311","United States of America","9714883602","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=ba93fd7a87e08a101dda87f9cebb35ce&view=sp"
"RMD0019231","0035001999","Quick Fix Network","15428 Civic Drive, Suite 335
Victorville CA 92392","No","United States of America","None","None","None","Christian Franco","CEO","Administration","15428 Civic Drive, Suite 335
Victorville CA 92392","United States of America","8335662523","9000","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-03-18","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=34fde1f287288a10467d0ed8cebb35ec&view=sp"
"RMD0019234","0032015034","Baker Tech Services LLC","126 N Oak Ave
Owatonna MN 55060","No","United States of America","None","None","None","Jack Ruiter","Vice President of Operations","Administrative","126 N Oak Ave
Owatonna MN 55060","United States of America","5074147800","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=d5604e3a1b6c8a10b68ea828624bcb3f&view=sp"
"RMD0019235","0035002948","NEPA Geeks","152 N Pennsylvania Ave
Wilkes-Barre PA 18701","No","United States of America","None","None","None","Jason Percival","Owner","None","152 N Pennsylvania Ave
Wilkes-Barre PA 18701","United States of America","'+15702351946","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-27","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=f8df31fa1ba80e10d44642e2b24bcb76&view=sp"
"RMD0019241","0030836464","EON TELECOM INC","1329 N STATE ST
SUITE 205
BELLINGHAM WA 98225","No","United States of America","none","none","none","Martin Hernandez","Network Administrator","Network Operations","1329 N STATE ST
SUITE 205
BELLINGHAM WA 98225","United States of America","2066871302","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-09-24","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=44513a3287a48a101dda87f9cebb3586&view=sp"
"RMD0019244","0035003318","SECURE MY CAMPUS LLC","24500 Chagrin Blvd.
Suite 300
Beachwood OH 44122","No","United States of America","none","none","none","Office Manager","Office Manager","Administration","24500 Chagrin Blvd.
Suite 300
Beachwood OH 44122","United States of America","4402488100","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-28","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=8de8b80f1ba0ca10ab016206624bcbd0&view=sp"
"RMD0019247","0026429241","GenXSP, LLC","1023 Waterman Avenue
East Providence RI 02914","No","United States of America","None","None","None","Steven Gorriaran","President","VoIP","1023 Waterman Avenue
East Providence RI 02914","United States of America","401-351-0050","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-28","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=e2ab81c31ba84e10a4b75318624bcb8a&view=sp"
"RMD0019249","0033869652","All in IT, LLC","24638 Kingsland Blvd
Katy TX 77494","No","United States of America","None","None","None","Matt Daniel","President, CEO","IT","24534 Kingsland Blvd
Katy TX 77494","United States of America","281-493-8098","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-28","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=065ec50f1be00e100073edf7624bcb25&view=sp"
"RMD0019252","0027443548","Data Integrity Services, Inc","www.disrv.com
2310 Lakeland Hills Blvd
Lakeland FL 33805","No","United States of America","None","None","None","Derek Heard","Business Development","Billing","www.disrv.com
2310 Lakeland Hills Blvd
Lakeland FL 33805","United States of America","8636835845","","Complete STIR/SHAKEN Implementation","No","No","Yes","2024-02-28","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=e599ddcbdbe4ca10d2dfa368139619a6&view=sp"
"RMD0019253","0028562221","N Touch Tel.com, Inc.","310 Hill Carter Parkway
Ste B
Ashland VA 23005","No","United States of America","None","None","None","Richard Nuckols","CEO","Operations","310 Hill Carter Parkway
Ste B
Ashland VA 23005","United States of America","8044122010","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","Yes","2024-05-08","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=8b806583db200e10bf8e1b58139619de&view=sp"
"RMD0019256","0028461614","Jones Group Family LLC","1615 South Congress Avenue
Suite 103
Delray Beach FL 33445","No","United States of America","None","J Biz Services","None","Ja-Ronn Jones","Principal","Technology","1615 South Congress Avenue
Suite 103
Delray Beach FL 33445","United States of America","561.202.8015","1001","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-28","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=b6d9a1cf1b28ca10ab016206624bcb09&view=sp"
"RMD0019258","0022472799","One Source Communications","3926 Wesley St
Suite 703
Myrtle Beach SC 29579","No","United States of America","None","None","None","Ken Seningen","President","Admin","3926 Wesley Str #703
Myrtle Beach SC 29579","United States of America","843-497-6485","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-28","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=4e19a5cb1b640e100073edf7624bcb85&view=sp"
"RMD0019259","0029639515","IPTech LLC","14340 COMPTON VILLAGE DR
CENTREVILLE VA 20121","No","United States of America","None","Ip2call","None","Anil Bhatia","Managing Member","Admin","20666 Crescent Pointe Pl
Crescent Pointe Pl
Ashburn VA 20147","United States of America","5717017300","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-28","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=cb7de5c78764ca10467d0ed8cebb35f6&view=sp"
"RMD0019260","0032619926","Hyperflex Broadband LLC","487 Holly Drive
Homerville GA 31634","No","United States of America","None","None","None","Joshua Moore","CTO","Support","487 Holly Drive
Homerville GA 31634","United States of America","855-435-3922","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-28","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=8ce931071ba40e10da74a644604bcb00&view=sp"
"RMD0019264","0035007830","Scout IT Systems, LLC","PO Box 375
Cypress TX 77377","No","United States of America","None","None","None","John Wilganowski","Owner","None","PO Box 375
Cypress TX 77377","United States of America","7702039601","","Complete STIR/SHAKEN Implementation","Yes","No","No","2024-02-28","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=03d10ac71be40e100073edf7624bcb50&view=sp"
"RMD0019266","0033702887","Midwest IT Systems, Inc.","411 S Grove Street
Suite 2
Blue Earth MN 56013","No","United States of America","None","None","None","Morray Aukes","Vice President","Operations","411 S Grove Street
Suite 2
Blue Earth MN 56013","United States of America","507-526-5979","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-02-28","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=e2ed8a07db2cca10d2dfa368139619bc&view=sp"
"RMD0019269","0023610769","VIP Voice Services LLC","12151 S State Hwy 51
Coweta OK 74429","No","United States of America","None","None","None","Stephen Colby Cook","Partner","Operations","12127 S State Hwy 51
Coweta OK 74429","United States of America","9182797001","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-02-28","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=9ce25e871be8ca10ab016206624bcbfe&view=sp"
"RMD0019270","0026050237","TrueConnX LLC","1523 Bull St
Savannah GA 31401","No","United States of America","None","Seimitsu","None","Matt Defore","CTO","Engineering","1523 Bull Street
Savannah GA 31401","United States of America","(912) 352-3689","","Complete STIR/SHAKEN Implementation","Yes","No","No","2025-02-17","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=1255164f1b24ca1051e2c808624bcbb6&view=sp"
"RMD0019272","0024218075","Travis Business Systems, Inc.","4211 N Barnes
Oklahoma City OK 73112","No","United States of America","None","Travis Voice and Data","None","Stephen Colby Cooko","Partner","Operations","6801 Broadway Ext., Ste 101
Oklahoma City OK 73116","United States of America","4059481797","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-02-28","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=03d89a8b1be8ca10ab016206624bcbaf&view=sp"
"RMD0019274","0030208268","RCG Telecommunications Services LLC","211 N 13th St.
Susite 702
Philadelphia PA 19107","No","United States of America","None","RCG Telecom","None","Scott Fulmer","VoIP Engineer","Telecom","211 N 13th St.
Susite 702
Philadelphia PA 19107","United States of America","2152408006","125","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-02-28","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=7337528f1b280e100073edf7624bcb6a&view=sp"
"RMD0019276","0034449280","Panda Mobile LLC","325 Harbour Cove Dr.
Suite 219
Sparks NV 89434","No","United States of America","None","None","None","Adrianne Gross","Vice President","Compliance","40 Lake Bellevue Drive
Suite 340
Bellevue WA 98005","United States of America","425-233-2593","","No STIR/SHAKEN Implementation - Performing Robocall Mitigation","Yes","No","No","2024-02-28","https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=a2e6d28787a80e104d94a75e3fbb3538&view=sp"
